CC,the
CC,a
CC,then
CD,of
CD,years
CD,days
DT,time
DT,person
DT,year
EX,is
EX,was
EX,has
FW,is
FW,of
FW,and
IN,the
IN,a
IN,all
JJ,time
JJ,person
JJ,year
JJR,than
JJR,is
JJR,was
JJS,of
JJS,is
JJS,was
MD,be
MD,have
MD,not
NN,is
NN,of
NN,and
NNS,are
NNS,of
NNS,and
NP,is
NP,of
NP,and
NPS,are
NPS,of
NPS,and
PDT,the
PDT,of
PDT,my
POS,world
POS,life
POS,work
PP,is
PP,of
PP,and
PP$,world
PP$,life
PP$,work
RB,is
RB,have
RB,do
RBR,than
RBR,is
RBR,was
RBS,of
RBS,is
RBS,was
RP,the
RP,to
RP,and
UH,yes
UH,no
VB,a
VB,the
VB,it
VBD,a
VBD,the
VBD,it
VBG,a
VBG,the
VBG,it
VBN,a
VBN,the
VBN,it
VBP,a
VBP,the
VBP,it
VBZ,a
VBZ,the
VBZ,it
WDT,is
WP,the
WP,is
WP$,is
WRB,the
WRB,is
